ticket_description,category,priority
"VPN connection keeps disconnecting affecting critical business operations, this is a blocking operations issue (ticket 45)",Network,High
"Cannot connect to WiFi network affecting critical business operations, this is a moderate impact issue (ticket 46)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a non-critical issue (ticket 47)",Network,Low
"High network latency detected affecting critical business operations, this is a affects productivity issue (ticket 48)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a occasionally issue (ticket 49)",Network,Low
"LAN connection is not detected on the office laptop, this is a minor issue (ticket 50)",Network,Low
"Cannot connect to WiFi network during peak working hours, this is a urgent issue (ticket 51)",Network,High
"Internet connection is very slow affecting critical business operations, this is a low impact issue (ticket 52)",Network,Low
"Cannot connect to WiFi network affecting critical business operations, this is a low impact issue (ticket 53)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a system down issue (ticket 54)",Network,High
"Internet connection is very slow during peak working hours, this is a needs attention issue (ticket 55)",Network,Medium
"High network latency detected when connected to office network, this is a moderate impact issue (ticket 56)",Network,Medium
"Internet connection is very slow during peak working hours, this is a non-critical issue (ticket 57)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a occasionally issue (ticket 58)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a occasionally issue (ticket 59)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a minor issue (ticket 60)",Network,Low
"High network latency detected affecting critical business operations, this is a minor issue (ticket 61)",Network,Low
"Internet connection is very slow on the office laptop, this is a low impact issue (ticket 62)",Network,Low
"High network latency detected on the office laptop, this is a critical issue issue (ticket 63)",Network,High
"Cannot connect to WiFi network when connected to office network, this is a low impact issue (ticket 64)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a low impact issue (ticket 65)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a minor issue (ticket 66)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a non-critical issue (ticket 67)",Network,Low
"Internet connection is very slow since this morning, this is a moderate impact issue (ticket 68)",Network,Medium
"Packet loss occurs frequently affecting critical business operations, this is a minor issue (ticket 69)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a minor issue (ticket 70)",Network,Low
"Network outage reported on the office laptop, this is a occasionally issue (ticket 71)",Network,Low
"LAN connection is not detected reported by several employees, this is a minor issue (ticket 72)",Network,Low
"High network latency detected reported by several employees, this is a needs attention issue (ticket 73)",Network,Medium
"VPN connection keeps disconnecting on the office laptop, this is a needs attention issue (ticket 74)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a non-critical issue (ticket 75)",Network,Low
"High network latency detected intermittently throughout the day, this is a critical issue issue (ticket 76)",Network,High
"Internet connection is very slow after recent configuration changes, this is a moderate impact issue (ticket 77)",Network,Medium
"Internet connection is very slow during peak working hours, this is a moderate impact issue (ticket 78)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a critical issue issue (ticket 79)",Network,High
"Cannot connect to WiFi network intermittently throughout the day, this is a low impact issue (ticket 80)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a moderate impact issue (ticket 81)",Network,Medium
"Packet loss occurs frequently affecting critical business operations, this is a non-critical issue (ticket 82)",Network,Low
"Network outage reported during peak working hours, this is a system down issue (ticket 83)",Network,High
"VPN connection keeps disconnecting during peak working hours, this is a system down issue (ticket 84)",Network,High
"VPN connection keeps disconnecting for multiple users in the same department, this is a moderate impact issue (ticket 85)",Network,Medium
"VPN connection keeps disconnecting on the office laptop, this is a needs attention issue (ticket 86)",Network,Medium
"LAN connection is not detected after recent configuration changes, this is a minor issue (ticket 87)",Network,Low
"Internet connection is very slow when connected to office network, this is a critical issue issue (ticket 88)",Network,High
"Internet connection is very slow intermittently throughout the day, this is a moderate impact issue (ticket 89)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a moderate impact issue (ticket 90)",Network,Medium
"Network outage reported when connected to office network, this is a affects productivity issue (ticket 91)",Network,Medium
"Internet connection is very slow after the latest system update, this is a needs attention issue (ticket 92)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a occasionally issue (ticket 93)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a minor issue (ticket 94)",Network,Low
"VPN connection keeps disconnecting on the office laptop, this is a moderate impact issue (ticket 95)",Network,Medium
"Internet connection is very slow intermittently throughout the day, this is a needs attention issue (ticket 96)",Network,Medium
"LAN connection is not detected after the latest system update, this is a system down issue (ticket 97)",Network,High
"Packet loss occurs frequently after the latest system update, this is a system down issue (ticket 98)",Network,High
"High network latency detected since this morning, this is a non-critical issue (ticket 99)",Network,Low
"Packet loss occurs frequently when connected to office network, this is a system down issue (ticket 100)",Network,High
"VPN connection keeps disconnecting after the latest system update, this is a affects productivity issue (ticket 101)",Network,Medium
"High network latency detected since this morning, this is a system down issue (ticket 102)",Network,High
"Cannot connect to WiFi network after recent configuration changes, this is a occasionally issue (ticket 103)",Network,Low
"Cannot connect to WiFi network since this morning, this is a needs attention issue (ticket 104)",Network,Medium
"VPN connection keeps disconnecting for multiple users in the same department, this is a urgent issue (ticket 105)",Network,High
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 106)",Network,Low
"Internet connection is very slow during peak working hours, this is a urgent issue (ticket 107)",Network,High
"Cannot connect to WiFi network reported by several employees, this is a urgent issue (ticket 108)",Network,High
"Internet connection is very slow during peak working hours, this is a needs attention issue (ticket 109)",Network,Medium
"Network outage reported intermittently throughout the day, this is a minor issue (ticket 110)",Network,Low
"High network latency detected reported by several employees, this is a minor issue (ticket 111)",Network,Low
"Network outage reported when connected to office network, this is a occasionally issue (ticket 112)",Network,Low
"VPN connection keeps disconnecting when connected to office network, this is a non-critical issue (ticket 113)",Network,Low
"LAN connection is not detected intermittently throughout the day, this is a affects productivity issue (ticket 114)",Network,Medium
"Network outage reported for multiple users in the same department, this is a moderate impact issue (ticket 115)",Network,Medium
"High network latency detected intermittently throughout the day, this is a non-critical issue (ticket 116)",Network,Low
"LAN connection is not detected after the latest system update, this is a low impact issue (ticket 117)",Network,Low
"Network outage reported after the latest system update, this is a needs attention issue (ticket 118)",Network,Medium
"High network latency detected affecting critical business operations, this is a urgent issue (ticket 119)",Network,High
"VPN connection keeps disconnecting on the office laptop, this is a non-critical issue (ticket 120)",Network,Low
"High network latency detected after recent configuration changes, this is a occasionally issue (ticket 121)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a moderate impact issue (ticket 122)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a non-critical issue (ticket 123)",Network,Low
"Internet connection is very slow on the office laptop, this is a affects productivity issue (ticket 124)",Network,Medium
"Packet loss occurs frequently on the office laptop, this is a minor issue (ticket 125)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a affects productivity issue (ticket 126)",Network,Medium
"High network latency detected when connected to office network, this is a system down issue (ticket 127)",Network,High
"Network outage reported when connected to office network, this is a affects productivity issue (ticket 128)",Network,Medium
"Cannot connect to WiFi network since this morning, this is a critical issue issue (ticket 129)",Network,High
"Packet loss occurs frequently when connected to office network, this is a low impact issue (ticket 130)",Network,Low
"Internet connection is very slow affecting critical business operations, this is a minor issue (ticket 131)",Network,Low
"High network latency detected after the latest system update, this is a urgent issue (ticket 132)",Network,High
"Packet loss occurs frequently after recent configuration changes, this is a moderate impact issue (ticket 133)",Network,Medium
"LAN connection is not detected when connected to office network, this is a blocking operations issue (ticket 134)",Network,High
"Cannot connect to WiFi network after recent configuration changes, this is a affects productivity issue (ticket 135)",Network,Medium
"Packet loss occurs frequently for multiple users in the same department, this is a moderate impact issue (ticket 136)",Network,Medium
"High network latency detected on the office laptop, this is a minor issue (ticket 137)",Network,Low
"Network outage reported for multiple users in the same department, this is a non-critical issue (ticket 138)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a occasionally issue (ticket 139)",Network,Low
"Cannot connect to WiFi network when connected to office network, this is a moderate impact issue (ticket 140)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a non-critical issue (ticket 141)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a occasionally issue (ticket 142)",Network,Low
"Packet loss occurs frequently when connected to office network, this is a minor issue (ticket 143)",Network,Low
"Packet loss occurs frequently reported by several employees, this is a minor issue (ticket 144)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a needs attention issue (ticket 145)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a affects productivity issue (ticket 146)",Network,Medium
"High network latency detected on the office laptop, this is a low impact issue (ticket 147)",Network,Low
"Internet connection is very slow when connected to office network, this is a low impact issue (ticket 148)",Network,Low
"Network outage reported after the latest system update, this is a system down issue (ticket 149)",Network,High
"LAN connection is not detected affecting critical business operations, this is a low impact issue (ticket 150)",Network,Low
"LAN connection is not detected reported by several employees, this is a affects productivity issue (ticket 151)",Network,Medium
"Network outage reported when connected to office network, this is a low impact issue (ticket 152)",Network,Low
"Cannot connect to WiFi network since this morning, this is a non-critical issue (ticket 153)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a low impact issue (ticket 154)",Network,Low
"VPN connection keeps disconnecting when connected to office network, this is a minor issue (ticket 155)",Network,Low
"High network latency detected since this morning, this is a affects productivity issue (ticket 156)",Network,Medium
"VPN connection keeps disconnecting on the office laptop, this is a moderate impact issue (ticket 157)",Network,Medium
"Internet connection is very slow since this morning, this is a system down issue (ticket 158)",Network,High
"Packet loss occurs frequently since this morning, this is a affects productivity issue (ticket 159)",Network,Medium
"Cannot connect to WiFi network after recent configuration changes, this is a moderate impact issue (ticket 160)",Network,Medium
"Cannot connect to WiFi network after recent configuration changes, this is a needs attention issue (ticket 161)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a moderate impact issue (ticket 162)",Network,Medium
"Network outage reported during peak working hours, this is a affects productivity issue (ticket 163)",Network,Medium
"VPN connection keeps disconnecting during peak working hours, this is a needs attention issue (ticket 164)",Network,Medium
"LAN connection is not detected when connected to office network, this is a occasionally issue (ticket 165)",Network,Low
"Internet connection is very slow reported by several employees, this is a moderate impact issue (ticket 166)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a needs attention issue (ticket 167)",Network,Medium
"Packet loss occurs frequently reported by several employees, this is a critical issue issue (ticket 168)",Network,High
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 169)",Network,Low
"Internet connection is very slow affecting critical business operations, this is a affects productivity issue (ticket 170)",Network,Medium
"Packet loss occurs frequently when connected to office network, this is a critical issue issue (ticket 171)",Network,High
"High network latency detected intermittently throughout the day, this is a needs attention issue (ticket 172)",Network,Medium
"Network outage reported after the latest system update, this is a non-critical issue (ticket 173)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a needs attention issue (ticket 174)",Network,Medium
"High network latency detected reported by several employees, this is a occasionally issue (ticket 175)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a low impact issue (ticket 176)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a moderate impact issue (ticket 177)",Network,Medium
"High network latency detected intermittently throughout the day, this is a non-critical issue (ticket 178)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a non-critical issue (ticket 179)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a urgent issue (ticket 180)",Network,High
"LAN connection is not detected since this morning, this is a affects productivity issue (ticket 181)",Network,Medium
"Internet connection is very slow on the office laptop, this is a needs attention issue (ticket 182)",Network,Medium
"LAN connection is not detected on the office laptop, this is a moderate impact issue (ticket 183)",Network,Medium
"Network outage reported after recent configuration changes, this is a minor issue (ticket 184)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a occasionally issue (ticket 185)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a non-critical issue (ticket 186)",Network,Low
"High network latency detected affecting critical business operations, this is a low impact issue (ticket 187)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a minor issue (ticket 188)",Network,Low
"Network outage reported on the office laptop, this is a occasionally issue (ticket 189)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a needs attention issue (ticket 190)",Network,Medium
"Network outage reported reported by several employees, this is a urgent issue (ticket 191)",Network,High
"Internet connection is very slow on the office laptop, this is a non-critical issue (ticket 192)",Network,Low
"Cannot connect to WiFi network for multiple users in the same department, this is a occasionally issue (ticket 193)",Network,Low
"VPN connection keeps disconnecting since this morning, this is a urgent issue (ticket 194)",Network,High
"Network outage reported after the latest system update, this is a needs attention issue (ticket 195)",Network,Medium
"Internet connection is very slow since this morning, this is a needs attention issue (ticket 196)",Network,Medium
"High network latency detected after recent configuration changes, this is a minor issue (ticket 197)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a minor issue (ticket 198)",Network,Low
"High network latency detected after recent configuration changes, this is a minor issue (ticket 199)",Network,Low
"Cannot connect to WiFi network after the latest system update, this is a urgent issue (ticket 200)",Network,High
"Internet connection is very slow on the office laptop, this is a low impact issue (ticket 201)",Network,Low
"LAN connection is not detected reported by several employees, this is a affects productivity issue (ticket 202)",Network,Medium
"Packet loss occurs frequently affecting critical business operations, this is a low impact issue (ticket 203)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a urgent issue (ticket 204)",Network,High
"LAN connection is not detected reported by several employees, this is a minor issue (ticket 205)",Network,Low
"Packet loss occurs frequently on the office laptop, this is a needs attention issue (ticket 206)",Network,Medium
"Network outage reported during peak working hours, this is a occasionally issue (ticket 207)",Network,Low
"LAN connection is not detected during peak working hours, this is a low impact issue (ticket 208)",Network,Low
"High network latency detected reported by several employees, this is a affects productivity issue (ticket 209)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a moderate impact issue (ticket 210)",Network,Medium
"Packet loss occurs frequently after recent configuration changes, this is a occasionally issue (ticket 211)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a affects productivity issue (ticket 212)",Network,Medium
"High network latency detected during peak working hours, this is a moderate impact issue (ticket 213)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a critical issue issue (ticket 214)",Network,High
"Internet connection is very slow after the latest system update, this is a moderate impact issue (ticket 215)",Network,Medium
"Network outage reported reported by several employees, this is a blocking operations issue (ticket 216)",Network,High
"Internet connection is very slow after recent configuration changes, this is a moderate impact issue (ticket 217)",Network,Medium
"High network latency detected for multiple users in the same department, this is a needs attention issue (ticket 218)",Network,Medium
"High network latency detected during peak working hours, this is a needs attention issue (ticket 219)",Network,Medium
"Network outage reported intermittently throughout the day, this is a affects productivity issue (ticket 220)",Network,Medium
"Internet connection is very slow on the office laptop, this is a critical issue issue (ticket 221)",Network,High
"Packet loss occurs frequently for multiple users in the same department, this is a affects productivity issue (ticket 222)",Network,Medium
"High network latency detected affecting critical business operations, this is a needs attention issue (ticket 223)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a low impact issue (ticket 224)",Network,Low
"Internet connection is very slow after recent configuration changes, this is a non-critical issue (ticket 225)",Network,Low
"VPN connection keeps disconnecting during peak working hours, this is a urgent issue (ticket 226)",Network,High
"High network latency detected after recent configuration changes, this is a low impact issue (ticket 227)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a minor issue (ticket 228)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a low impact issue (ticket 229)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a critical issue issue (ticket 230)",Network,High
"Network outage reported affecting critical business operations, this is a affects productivity issue (ticket 231)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a low impact issue (ticket 232)",Network,Low
"Network outage reported after recent configuration changes, this is a affects productivity issue (ticket 233)",Network,Medium
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 234)",Network,Low
"High network latency detected after recent configuration changes, this is a occasionally issue (ticket 235)",Network,Low
"Network outage reported after the latest system update, this is a minor issue (ticket 236)",Network,Low
"LAN connection is not detected when connected to office network, this is a minor issue (ticket 237)",Network,Low
"High network latency detected during peak working hours, this is a affects productivity issue (ticket 238)",Network,Medium
"High network latency detected for multiple users in the same department, this is a needs attention issue (ticket 239)",Network,Medium
"High network latency detected after recent configuration changes, this is a system down issue (ticket 240)",Network,High
"High network latency detected affecting critical business operations, this is a occasionally issue (ticket 241)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a affects productivity issue (ticket 242)",Network,Medium
"Packet loss occurs frequently during peak working hours, this is a low impact issue (ticket 243)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a minor issue (ticket 244)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a blocking operations issue (ticket 245)",Network,High
"Packet loss occurs frequently after the latest system update, this is a low impact issue (ticket 246)",Network,Low
"VPN connection keeps disconnecting intermittently throughout the day, this is a moderate impact issue (ticket 247)",Network,Medium
"High network latency detected after recent configuration changes, this is a system down issue (ticket 248)",Network,High
"Network outage reported on the office laptop, this is a affects productivity issue (ticket 249)",Network,Medium
"Packet loss occurs frequently when connected to office network, this is a low impact issue (ticket 250)",Network,Low
"Network outage reported when connected to office network, this is a occasionally issue (ticket 251)",Network,Low
"High network latency detected since this morning, this is a non-critical issue (ticket 252)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a blocking operations issue (ticket 253)",Network,High
"Internet connection is very slow affecting critical business operations, this is a critical issue issue (ticket 254)",Network,High
"Network outage reported after the latest system update, this is a occasionally issue (ticket 255)",Network,Low
"Internet connection is very slow after recent configuration changes, this is a needs attention issue (ticket 256)",Network,Medium
"VPN connection keeps disconnecting reported by several employees, this is a moderate impact issue (ticket 257)",Network,Medium
"Internet connection is very slow intermittently throughout the day, this is a blocking operations issue (ticket 258)",Network,High
"VPN connection keeps disconnecting after recent configuration changes, this is a critical issue issue (ticket 259)",Network,High
"LAN connection is not detected during peak working hours, this is a non-critical issue (ticket 260)",Network,Low
"Cannot connect to WiFi network during peak working hours, this is a minor issue (ticket 261)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a non-critical issue (ticket 262)",Network,Low
"Internet connection is very slow since this morning, this is a minor issue (ticket 263)",Network,Low
"VPN connection keeps disconnecting intermittently throughout the day, this is a occasionally issue (ticket 264)",Network,Low
"Cannot connect to WiFi network affecting critical business operations, this is a occasionally issue (ticket 265)",Network,Low
"Cannot connect to WiFi network after the latest system update, this is a low impact issue (ticket 266)",Network,Low
"LAN connection is not detected on the office laptop, this is a moderate impact issue (ticket 267)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a needs attention issue (ticket 268)",Network,Medium
"High network latency detected for multiple users in the same department, this is a needs attention issue (ticket 269)",Network,Medium
"VPN connection keeps disconnecting affecting critical business operations, this is a low impact issue (ticket 270)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a low impact issue (ticket 271)",Network,Low
"Network outage reported for multiple users in the same department, this is a needs attention issue (ticket 272)",Network,Medium
"Cannot connect to WiFi network when connected to office network, this is a critical issue issue (ticket 273)",Network,High
"Cannot connect to WiFi network when connected to office network, this is a moderate impact issue (ticket 274)",Network,Medium
"VPN connection keeps disconnecting for multiple users in the same department, this is a low impact issue (ticket 275)",Network,Low
"VPN connection keeps disconnecting since this morning, this is a moderate impact issue (ticket 276)",Network,Medium
"Packet loss occurs frequently since this morning, this is a blocking operations issue (ticket 277)",Network,High
"Packet loss occurs frequently for multiple users in the same department, this is a affects productivity issue (ticket 278)",Network,Medium
"LAN connection is not detected intermittently throughout the day, this is a occasionally issue (ticket 279)",Network,Low
"LAN connection is not detected for multiple users in the same department, this is a moderate impact issue (ticket 280)",Network,Medium
"Packet loss occurs frequently after the latest system update, this is a moderate impact issue (ticket 281)",Network,Medium
"Network outage reported since this morning, this is a low impact issue (ticket 282)",Network,Low
"Internet connection is very slow reported by several employees, this is a occasionally issue (ticket 283)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a low impact issue (ticket 284)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a non-critical issue (ticket 285)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a system down issue (ticket 286)",Network,High
"VPN connection keeps disconnecting after recent configuration changes, this is a urgent issue (ticket 287)",Network,High
"Network outage reported intermittently throughout the day, this is a blocking operations issue (ticket 288)",Network,High
"Internet connection is very slow after the latest system update, this is a affects productivity issue (ticket 289)",Network,Medium
"Packet loss occurs frequently when connected to office network, this is a urgent issue (ticket 290)",Network,High
"Internet connection is very slow when connected to office network, this is a minor issue (ticket 291)",Network,Low
"High network latency detected intermittently throughout the day, this is a moderate impact issue (ticket 292)",Network,Medium
"VPN connection keeps disconnecting reported by several employees, this is a non-critical issue (ticket 293)",Network,Low
"Internet connection is very slow on the office laptop, this is a moderate impact issue (ticket 294)",Network,Medium
"LAN connection is not detected intermittently throughout the day, this is a system down issue (ticket 295)",Network,High
"Network outage reported during peak working hours, this is a needs attention issue (ticket 296)",Network,Medium
"Network outage reported for multiple users in the same department, this is a affects productivity issue (ticket 297)",Network,Medium
"Cannot connect to WiFi network since this morning, this is a urgent issue (ticket 298)",Network,High
"High network latency detected during peak working hours, this is a occasionally issue (ticket 299)",Network,Low
"High network latency detected after recent configuration changes, this is a low impact issue (ticket 300)",Network,Low
"LAN connection is not detected after the latest system update, this is a critical issue issue (ticket 301)",Network,High
"Packet loss occurs frequently after recent configuration changes, this is a needs attention issue (ticket 302)",Network,Medium
"Internet connection is very slow intermittently throughout the day, this is a low impact issue (ticket 303)",Network,Low
"Cannot connect to WiFi network intermittently throughout the day, this is a non-critical issue (ticket 304)",Network,Low
"LAN connection is not detected intermittently throughout the day, this is a non-critical issue (ticket 305)",Network,Low
"Cannot connect to WiFi network during peak working hours, this is a blocking operations issue (ticket 306)",Network,High
"Internet connection is very slow on the office laptop, this is a moderate impact issue (ticket 307)",Network,Medium
"Internet connection is very slow since this morning, this is a affects productivity issue (ticket 308)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a occasionally issue (ticket 309)",Network,Low
"LAN connection is not detected on the office laptop, this is a system down issue (ticket 310)",Network,High
"VPN connection keeps disconnecting after the latest system update, this is a moderate impact issue (ticket 311)",Network,Medium
"Internet connection is very slow for multiple users in the same department, this is a system down issue (ticket 312)",Network,High
"Cannot connect to WiFi network affecting critical business operations, this is a occasionally issue (ticket 313)",Network,Low
"Internet connection is very slow since this morning, this is a non-critical issue (ticket 314)",Network,Low
"Packet loss occurs frequently on the office laptop, this is a affects productivity issue (ticket 315)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a low impact issue (ticket 316)",Network,Low
"LAN connection is not detected during peak working hours, this is a needs attention issue (ticket 317)",Network,Medium
"High network latency detected intermittently throughout the day, this is a affects productivity issue (ticket 318)",Network,Medium
"High network latency detected affecting critical business operations, this is a minor issue (ticket 319)",Network,Low
"Network outage reported affecting critical business operations, this is a minor issue (ticket 320)",Network,Low
"Internet connection is very slow after recent configuration changes, this is a blocking operations issue (ticket 321)",Network,High
"Network outage reported during peak working hours, this is a needs attention issue (ticket 322)",Network,Medium
"Internet connection is very slow during peak working hours, this is a occasionally issue (ticket 323)",Network,Low
"Internet connection is very slow after the latest system update, this is a non-critical issue (ticket 324)",Network,Low
"High network latency detected reported by several employees, this is a needs attention issue (ticket 325)",Network,Medium
"LAN connection is not detected reported by several employees, this is a minor issue (ticket 326)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a affects productivity issue (ticket 327)",Network,Medium
"High network latency detected after recent configuration changes, this is a blocking operations issue (ticket 328)",Network,High
"VPN connection keeps disconnecting after recent configuration changes, this is a minor issue (ticket 329)",Network,Low
"VPN connection keeps disconnecting when connected to office network, this is a non-critical issue (ticket 330)",Network,Low
"VPN connection keeps disconnecting after the latest system update, this is a needs attention issue (ticket 331)",Network,Medium
"Internet connection is very slow during peak working hours, this is a critical issue issue (ticket 332)",Network,High
"High network latency detected during peak working hours, this is a needs attention issue (ticket 333)",Network,Medium
"Packet loss occurs frequently after the latest system update, this is a moderate impact issue (ticket 334)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a minor issue (ticket 335)",Network,Low
"High network latency detected intermittently throughout the day, this is a blocking operations issue (ticket 336)",Network,High
"Packet loss occurs frequently since this morning, this is a urgent issue (ticket 337)",Network,High
